"from","to","weight"
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003777 _ Lead",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003766 _ Cadmium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003763 _ Arsenic",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003729 _ Zinc",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003717 _ Sulfur",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00048 _ FDB003636 _ Manganese",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00043 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00043 _ FDB013444 _ Nickel",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00043 _ FDB003729 _ Zinc",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00043 _ FDB003636 _ Manganese",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00043 _ FDB003582 _ Copper",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB003516 _ Chromium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00047 _ FDB003729 _ Zinc",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00047 _ FDB003636 _ Manganese",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00047 _ FDB003582 _ Copper",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00047 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00047 _ FDB003521 _ Potassium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00047 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00047 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB003722 _ Tin",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB003713 _ Silicon",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB003636 _ Manganese",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB003581 _ Cobalt",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB003570 _ Aluminum",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00046 _ FDB003521 _ Potassium",0.500996299
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB013444 _ Nickel",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00052 _ FDB003729 _ Zinc",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00052 _ FDB003636 _ Manganese",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00052 _ FDB003582 _ Copper",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00052 _ FDB003575 _ Boron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00052 _ FDB003521 _ Potassium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00052 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00052 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00052 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB003516 _ Chromium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB003513 _ Calcium",0.39174886
"FOOD00004 _ FDB003521 _ Potassium","FOOD00049 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00049 _ FDB003575 _ Boron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00049 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00049 _ FDB003521 _ Potassium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00049 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00049 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB003521 _ Potassium",0.392830629
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB003582 _ Copper",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003729 _ Zinc",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003717 _ Sulfur",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003636 _ Manganese",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003582 _ Copper",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003581 _ Cobalt",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003575 _ Boron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003523 _ Sodium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003521 _ Potassium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003516 _ Chromium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00051 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB003780 _ Mercury",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB003729 _ Zinc",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB003717 _ Sulfur",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00050 _ FDB003636 _ Manganese",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00062 _ FDB003713 _ Silicon",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00070 _ FDB003520 _ Phosphorus",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00070 _ FDB003516 _ Chromium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00070 _ FDB003513 _ Calcium",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00069 _ FDB016251 _ Iron",0.27316959
"FOOD00004 _ FDB003521 _ Potassium","FOOD00069 _ FDB003575 _ Boron",0.27316959
