public_food_id_compound_id_name,contribution
FOOD00013 _ FDB017358 _ 1-Isopropyl-4-methylbenzene,0.010314177
"FOOD00013 _ FDB017400 _ 7-Methyl-3-methylene-1,6-octadiene",0.002530224
FOOD00014 _ FDB000474 _ L-Lysine,0.046751342
FOOD00014 _ FDB000574 _ Pyridoxine,0.000279948
FOOD00014 _ FDB001014 _ Nicotinic acid,0.0010778
FOOD00014 _ FDB001224 _ L-Ascorbic acid,0.043391964
FOOD00014 _ FDB002193 _ Anonaine,0.067187557
FOOD00014 _ FDB002250 _ L-Tryptophan,0.008818367
FOOD00014 _ FDB003513 _ Calcium,0.040480503
FOOD00014 _ FDB003520 _ Phosphorus,0.045407591
FOOD00014 _ FDB003521 _ Potassium,0.730944629
FOOD00014 _ FDB003523 _ Sodium,0.008398445
FOOD00014 _ FDB008322 _ Pantothenic acid,0.000615886
FOOD00014 _ FDB012160 _ Riboflavine,0.000173568
FOOD00014 _ FDB012683 _ L-Methionine,0.005039067
FOOD00014 _ FDB014613 _ beta-Carotene,5.60E-06
FOOD00014 _ FDB016251 _ Iron,0.001427736
FOOD00015 _ FDB000446 _ L-Tyrosine,0.007696415
FOOD00015 _ FDB000474 _ L-Lysine,0.022321572
FOOD00015 _ FDB000484 _ Glycine,0.017715533
FOOD00015 _ FDB000556 _ L-Alanine,0.019231196
FOOD00015 _ FDB000565 _ alpha-Tocopherol,0.000251954
FOOD00015 _ FDB000574 _ Pyridoxine,2.36E-05
FOOD00015 _ FDB001014 _ Nicotinic acid,0.000236207
FOOD00015 _ FDB001224 _ L-Ascorbic acid,0.011164723
FOOD00015 _ FDB001324 _ 3-Methylbutanoic acid,7.87E-06
FOOD00015 _ FDB001462 _ cis-beta-Ocimene,0.017715533
FOOD00015 _ FDB001946 _ L-Leucine,0.026927611
FOOD00015 _ FDB002250 _ L-Tryptophan,0.007696415
FOOD00015 _ FDB002257 _ Arginine,0.01694786
FOOD00015 _ FDB002542 _ Bergapten,1.57E-05
FOOD00015 _ FDB002793 _ Anethole,7.87E-06
FOOD00015 _ FDB003010 _ Dodecanoic acid,0.001625892
FOOD00015 _ FDB003513 _ Calcium,0.048150819
FOOD00015 _ FDB003516 _ Chromium,1.85E-07
FOOD00015 _ FDB003520 _ Phosphorus,0.027754335
FOOD00015 _ FDB003521 _ Potassium,0.238132198
FOOD00015 _ FDB003523 _ Sodium,0.070503886
FOOD00015 _ FDB003570 _ Aluminum,3.66E-05
FOOD00015 _ FDB003575 _ Boron,0.000421236
FOOD00015 _ FDB003582 _ Copper,2.91E-05
FOOD00015 _ FDB003636 _ Manganese,0.000133851
